drug,protein
DB00128,55157
DB00128,80150
DB00128,122622
DB00128,91703
DB00145,2653
DB00145,570
DB00145,10249
DB00145,51268
DB00170,154807
DB00184,1139
DB00674,1139
DB00794,1139
DB01273,1139
DB00184,55584
DB00674,55584
DB00818,2562
DB00818,2561
DB00188,5689
DB00188,5693
DB00188,5690
DB00651,5143
DB00920,5143
DB00270,783
DB00381,783
DB00393,783
DB00401,783
DB00622,783
DB00661,783
DB01023,783
DB01054,783
DB01115,783
DB06712,783
DB00270,779
DB00381,779
DB00393,779
DB00401,779
DB00661,779
DB01023,779
DB01054,779
DB01115,779
DB06712,779
DB00393,785
DB00661,785
DB00393,778
DB00661,778
DB00393,784
DB00661,784
DB00270,776
DB00381,776
DB00393,776
DB00401,776
DB00622,776
DB00661,776
DB01023,776
DB01054,776
DB01115,776
DB06712,776
DB02546,3065
DB00227,3066
DB02546,3066
DB02546,8841
DB02546,10013
DB00905,5733
DB00917,5733
DB08059,5290
DB01064,5296
DB01064,8503
DB00337,2475
DB00877,2475
DB01590,2475
DB06287,2475
DB00270,9254
DB00996,9254
DB01023,9254
DB01054,9254
DB01118,9254
DB01244,9254
DB00586,3786
DB04786,5029
DB04716,3717
DB00847,4887
DB00380,7155
DB00694,7155
DB00909,768
DB00999,768
DB00914,3764
DB00922,3764
DB01251,3764
DB00242,6241
DB01087,3855
DB00738,1787
DB03754,23590
DB00284,279
DB07348,9266
DB00198,1066
DB00583,1066
DB01599,1066
DB04838,1066
DB00173,55825
DB01073,1633
DB03754,79661
DB03793,1371
DB03796,3174
DB03796,27095
DB01110,10242
DB00198,4759
DB00558,4759
DB03994,306
DB00128,6035
DB00536,6035
DB00622,5153
DB01023,5153
DB01244,5153
DB02701,23408
DB04786,23408
DB06852,1111
DB00480,1003
DB04703,9212
DB07340,9212
DB02740,3105
DB04716,3718
DB00480,8600
DB00724,51311
DB00917,5734
DB04297,51564
DB00104,6752
DB00811,132
DB01009,3577
DB01065,438
DB01065,6096
DB01065,8288
DB00203,5148
DB00862,5148
DB00203,5149
DB00862,5149
DB00820,50940
DB00851,5226
DB00920,5226
DB00328,145482
DB00328,11251
DB00605,11251
DB00381,55799
DB06712,55799
DB00381,782
DB00622,5136
DB01023,5136
DB01244,5136
DB01023,7125
DB01373,7125
DB00630,5802
DB00630,5791
DB00630,523
DB06733,523
DB00399,9453
DB00697,11188
DB00561,3777
DB00561,51305
DB00184,1143
DB00674,1143
DB00184,1136
DB00674,1136
DB00848,1136
DB01156,1136
DB01273,1136
DB00184,1138
DB00674,1138
DB00768,6273
DB00321,3751
DB00458,3751
DB00321,3752
DB00458,3752
DB00242,50484
DB00242,5426
DB00242,5427
DB00242,56655
DB00242,54107
DB01083,8513
DB00909,761
DB00909,763
DB01194,763
DB00909,11238
DB00909,767
DB00909,770
DB00909,23632
DB00909,6324
DB00909,55800
DB00909,6330
DB00570,51174
DB00570,51175
DB00570,7283
DB00920,5151
DB00920,8622
DB01032,24145
DB00379,196
DB00393,196
DB00499,196
DB01097,196
DB00197,2101
DB01044,23113
DB01645,8648
DB03880,11096
DB02587,2778
DB02587,108
DB02587,111
DB01645,10499
DB08059,5347
DB07995,5566
DB08162,5566
DB08568,5566
DB08756,5566
DB07995,5569
DB08162,5569
DB08568,5569
DB08756,5569
DB02740,567
DB02740,28755
DB02740,28639
DB00173,52
DB04716,1613
DB07995,83903
DB07232,10038
DB07340,3619
DB07348,375
DB04216,498
DB08399,498
DB04216,506
DB08399,506
DB04216,509
DB08399,509
DB02255,10863
DB03880,10863
DB03796,5047
DB04751,1456
DB04552,5319
DB01206,81551
DB02255,176
DB03793,1610
DB04716,7297
DB03796,5375
DB08162,9475
DB08756,9475
DB04751,6195
DB08356,5166
DB00173,6733
DB02733,6733
DB04216,26275
DB04216,9262
DB00126,3938
DB00831,6275
DB01110,3779
DB01110,3780
DB01110,3781
DB01110,3782
DB00126,151
DB00170,3620
DB00170,7052
DB00170,4129
DB00170,994
DB00170,316
DB00176,6532
DB00176,6531
DB00179,3480
DB00179,1588
DB00179,239
DB00194,1803
DB00196,1576
DB00197,4129
DB00201,43
DB00201,3757
DB00203,10057
DB00208,1557
DB00213,6582
DB00213,9429
DB00215,1128
DB00215,6530
DB00215,3358
DB00215,6532
DB00215,148
DB00215,3269
DB00215,3757
DB00227,8856
DB00227,5243
DB00233,5770
DB00234,1565
DB00234,6530
DB00234,3358
DB00234,6532
DB00235,8654
DB00235,5742
DB00235,5140
DB00246,154
DB00246,153
DB00246,6915
DB00246,6532
DB00246,3757
DB00249,7083
DB00252,1559
DB00257,7226
DB00257,1586
DB00257,5243
DB00257,1576
DB00257,1588
DB00257,3738
DB00257,3577
DB00257,554
DB00257,1233
DB00257,3757
DB00257,1595
DB00257,9971
DB00259,759
DB00259,760
DB00259,761
DB00259,762
DB00259,768
DB00261,64805
DB00264,155
DB00268,3363
DB00273,771
DB00273,759
DB00273,763
DB00273,768
DB00283,6580
DB00285,1129
DB00285,150
DB00285,1128
DB00285,6530
DB00285,4886
DB00285,3356
DB00285,3358
DB00285,6532
DB00285,3362
DB00285,6531
DB00289,6530
DB00289,6532
DB00289,6531
DB00289,3757
DB00292,1584
DB00292,1585
DB00307,5914
DB00307,5915
DB00307,5916
DB00316,771
DB00316,761
DB00317,2580
DB00317,2051
DB00317,8767
DB00317,8986
DB00317,9262
DB00317,6793
DB00317,11200
DB00317,25
DB00317,2064
DB00317,3932
DB00317,5979
DB00317,4233
DB00317,3055
DB00317,2268
DB00317,3815
DB00317,6714
DB00317,5261
DB00317,2065
DB00317,2042
DB00317,4058
DB00317,558
DB00317,3791
DB00317,2322
DB00317,27
DB00317,5601
DB00317,1453
DB00317,1454
DB00317,1022
DB00317,3654
DB00317,5602
DB00317,2044
DB00317,2050
DB00317,2047
DB00317,5607
DB00317,5587
DB00317,2066
DB00317,388228
DB00317,80122
DB00317,50488
DB00317,147746
DB00317,79837
DB00317,4215
DB00317,85443
DB00317,81788
DB00317,9748
DB00317,2872
DB00317,27148
DB00317,51135
DB00317,51701
DB00317,9263
DB00317,285220
DB00317,23043
DB00317,9429
DB00317,10746
DB00321,1813
DB00321,1812
DB00321,1816
DB00321,6530
DB00321,3274
DB00321,3358
DB00321,6532
DB00321,1814
DB00321,3362
DB00321,6531
DB00321,6331
DB00321,6326
DB00321,59340
DB00321,11255
DB00325,43
DB00328,240
DB00328,3576
DB00328,367
DB00328,231
DB00328,6916
DB00328,8644
DB00328,5732
DB00328,9356
DB00334,3757
DB00338,1576
DB00342,5243
DB00342,1576
DB00342,1128
DB00342,1573
DB00343,1576
DB00345,9356
DB00357,1588
DB00358,3757
DB00363,1816
DB00363,6532
DB00363,3757
DB00363,11255
DB00367,6462
DB00368,1813
DB00370,3350
DB00370,1813
DB00370,151
DB00370,152
DB00370,1812
DB00370,6530
DB00370,3363
DB00370,148
DB00370,1814
DB00373,155
DB00379,3757
DB00379,6326
DB00381,146
DB00381,148
DB00381,147
DB00382,6582
DB00382,1544
DB00382,1129
DB00382,1268
DB00382,1269
DB00382,1145
DB00387,1133
DB00391,759
DB00391,760
DB00391,1815
DB00391,763
DB00391,768
DB00391,11238
DB00393,8856
DB00393,9971
DB00396,6580
DB00396,6581
DB00396,2908
DB00396,6462
DB00396,367
DB00396,1559
DB00396,10280
DB00398,10733
DB00398,8767
DB00398,6793
DB00398,25
DB00398,4914
DB00398,3643
DB00398,3932
DB00398,2534
DB00398,1436
DB00398,5979
DB00398,3055
DB00398,3350
DB00398,2268
DB00398,2260
DB00398,6714
DB00398,2321
DB00398,2261
DB00398,1017
DB00398,3356
DB00398,3358
DB00398,1969
DB00398,2042
DB00398,2046
DB00398,2053
DB00398,3363
DB00398,7048
DB00398,1445
DB00398,3357
DB00398,27
DB00398,2444
DB00398,5601
DB00398,1452
DB00398,1195
DB00398,2932
DB00398,3362
DB00398,3718
DB00398,3984
DB00398,3985
DB00398,6300
DB00398,2044
DB00398,2050
DB00398,2047
DB00398,2043
DB00398,1018
DB00398,1020
DB00398,7010
DB00398,5607
DB00398,2045
DB00398,5600
DB00398,1432
DB00398,4921
DB00398,91807
DB00398,57551
DB00398,204851
DB00398,147746
DB00398,140469
DB00398,11184
DB00398,9212
DB00398,85366
DB00398,9748
DB00398,10114
DB00398,2872
DB00398,27148
DB00398,285220
DB00398,23043
DB00398,9344
DB00398,11183
DB00402,2557
DB00408,1129
DB00408,1132
DB00408,3350
DB00408,1133
DB00408,150
DB00408,1128
DB00408,151
DB00408,152
DB00408,1131
DB00408,1815
DB00408,3363
DB00408,148
DB00408,3269
DB00408,1814
DB00408,3362
DB00408,59340
DB00412,5916
DB00412,4129
DB00412,5467
DB00412,5465
DB00421,2099
DB00421,2908
DB00421,5241
DB00421,2100
DB00433,1129
DB00433,150
DB00433,1815
DB00433,3358
DB00433,3269
DB00433,1814
DB00434,1132
DB00434,3350
DB00434,1133
DB00434,1812
DB00434,6530
DB00434,6532
DB00434,1814
DB00434,3357
DB00434,3362
DB00434,59340
DB00450,1815
DB00450,3757
DB00455,8856
DB00455,3757
DB00455,9971
DB00455,55117
DB00457,6580
DB00457,150
DB00457,4835
DB00457,151
DB00457,152
DB00457,1815
DB00457,4504
DB00457,3352
DB00458,6582
DB00458,5621
DB00458,3350
DB00458,150
DB00458,1813
DB00458,6530
DB00458,3274
DB00458,3358
DB00458,6532
DB00458,1814
DB00458,6531
DB00458,3757
DB00467,526
DB00468,6582
DB00468,1565
DB00471,10800
DB00472,1129
DB00472,1132
DB00472,1133
DB00472,150
DB00472,1128
DB00472,1131
DB00472,43
DB00472,6530
DB00472,3358
DB00472,6532
DB00472,148
DB00472,3269
DB00472,3357
DB00472,6531
DB00472,3757
DB00472,10280
DB00476,1129
DB00476,3350
DB00476,150
DB00476,1565
DB00476,6530
DB00476,4886
DB00476,3352
DB00476,3351
DB00476,3356
DB00476,3358
DB00476,3354
DB00476,3355
DB00476,6532
DB00476,3269
DB00476,3357
DB00476,3362
DB00476,6531
DB00477,6580
DB00477,5621
DB00477,1129
DB00477,5243
DB00477,150
DB00477,1565
DB00477,151
DB00477,152
DB00477,1131
DB00477,1815
DB00477,1816
DB00477,3358
DB00477,6532
DB00477,3363
DB00477,1814
DB00477,3357
DB00477,3362
DB00477,801
DB00477,316
DB00477,3757
DB00477,59340
DB00477,11255
DB00478,6582
DB00481,5338
DB00481,3357
DB00481,3362
DB00481,316
DB00481,5337
DB00481,10682
DB00481,10280
DB00482,761
DB00482,1559
DB00482,5742
DB00482,1432
DB00483,1128
DB00489,155
DB00490,3356
DB00490,3358
DB00490,1814
DB00490,3357
DB00490,3757
DB00490,10280
DB00491,6476
DB00495,7083
DB00495,7852
DB00500,3576
DB00502,154
DB00502,5243
DB00502,3350
DB00502,150
DB00502,152
DB00502,6915
DB00502,1815
DB00502,1816
DB00502,3352
DB00502,3351
DB00502,3358
DB00502,3354
DB00502,3355
DB00502,6532
DB00502,3363
DB00502,148
DB00502,3269
DB00502,3357
DB00502,3362
DB00502,3757
DB00502,10682
DB00502,10280
DB00514,1565
DB00524,771
DB00524,760
DB00524,762
DB00524,765
DB00524,763
DB00524,768
DB00524,23632
DB00524,11238
DB00530,10733
DB00530,6790
DB00530,2580
DB00530,2051
DB00530,1613
DB00530,8767
DB00530,3717
DB00530,9262
DB00530,6793
DB00530,11309
DB00530,25
DB00530,2064
DB00530,3932
DB00530,5979
DB00530,4233
DB00530,1576
DB00530,3815
DB00530,6714
DB00530,2263
DB00530,2065
DB00530,7297
DB00530,558
DB00530,2868
DB00530,7272
DB00530,3791
DB00530,2322
DB00530,1445
DB00530,7294
DB00530,27
DB00530,5601
DB00530,1454
DB00530,3718
DB00530,5602
DB00530,2044
DB00530,2050
DB00530,2047
DB00530,54101
DB00530,10461
DB00530,5607
DB00530,817
DB00530,2066
DB00530,22848
DB00530,388228
DB00530,80122
DB00530,120892
DB00530,25989
DB00530,50488
DB00530,147746
DB00530,79837
DB00530,8445
DB00530,1244
DB00530,4215
DB00530,23235
DB00530,9748
DB00530,2872
DB00530,27148
DB00530,55589
DB00530,9263
DB00530,285220
DB00530,29110
DB00530,23043
DB00530,26576
DB00530,10746
DB00533,5742
DB00533,5732
DB00539,3362
DB00543,3350
DB00543,1815
DB00543,6530
DB00543,3356
DB00543,6532
DB00543,3363
DB00543,1814
DB00543,3362
DB00543,6531
DB00543,59340
DB00549,6582
DB00549,1559
DB00549,1241
DB00549,57105
DB00549,10800
DB00553,1548
DB00553,43
DB00554,1576
DB00558,10825
DB00563,7298
DB00563,6573
DB00563,2356
DB00571,1565
DB00571,3356
DB00571,6554
DB00575,6580
DB00575,146
DB00575,148
DB00575,147
DB00575,11188
DB00576,1576
DB00580,763
DB00580,768
DB00580,23632
DB00580,11238
DB00582,1559
DB00582,1557
DB00586,213
DB00586,3576
DB00586,3577
DB00586,8644
DB00586,9356
DB00590,150
DB00590,152
DB00601,4128
DB00603,2908
DB00603,6462
DB00603,367
DB00603,8644
DB00603,1646
DB00603,1645
DB00608,5621
DB00608,1576
DB00608,4835
DB00608,3757
DB00612,155
DB00619,10733
DB00619,2580
DB00619,6582
DB00619,771
DB00619,759
DB00619,760
DB00619,3932
DB00619,2534
DB00619,761
DB00619,4067
DB00619,5243
DB00619,4835
DB00619,762
DB00619,765
DB00619,2046
DB00619,7297
DB00619,2322
DB00619,27
DB00619,2444
DB00619,6850
DB00619,5599
DB00619,5601
DB00619,1195
DB00619,3654
DB00619,5602
DB00619,3735
DB00619,768
DB00619,4921
DB00619,147746
DB00619,79837
DB00619,57396
DB00619,9263
DB00619,23632
DB00619,9429
DB00622,5243
DB00622,1576
DB00622,1559
DB00623,1129
DB00623,5243
DB00623,3350
DB00623,150
DB00623,1816
DB00623,3356
DB00623,3358
DB00623,3269
DB00623,1814
DB00623,3362
DB00624,6462
DB00624,1576
DB00624,1588
DB00624,10280
DB00631,6241
DB00633,146
DB00641,5243
DB00643,25
DB00643,3791
DB00655,6462
DB00655,3292
DB00655,2100
DB00655,9429
DB00656,1813
DB00656,6530
DB00656,6532
DB00656,3357
DB00656,6531
DB00661,6580
DB00661,5243
DB00661,1576
DB00661,3738
DB00661,4363
DB00661,219931
DB00668,155
DB00669,3356
DB00669,3358
DB00669,3354
DB00669,3363
DB00669,3359
DB00669,3362
DB00673,1576
DB00673,6870
DB00675,5243
DB00675,1576
DB00675,2101
DB00675,3362
DB00675,3757
DB00675,10682
DB00675,10280
DB00675,84650
DB00675,1717
DB00679,1129
DB00679,3350
DB00679,150
DB00679,151
DB00679,152
DB00679,1131
DB00679,1815
DB00679,1816
DB00679,3358
DB00679,3363
DB00679,3269
DB00679,1814
DB00679,3362
DB00682,213
DB00692,3350
DB00692,151
DB00692,152
DB00692,146
DB00692,3269
DB00692,147
DB00692,10280
DB00692,11188
DB00694,5243
DB00694,4313
DB00694,4363
DB00695,3290
DB00701,1576
DB00701,1577
DB00706,3350
DB00706,150
DB00706,1813
DB00706,152
DB00706,3363
DB00706,1814
DB00712,8644
DB00712,9356
DB00715,150
DB00715,1565
DB00715,6530
DB00715,6869
DB00715,6532
DB00715,6531
DB00715,5025
DB00717,6462
DB00730,23173
DB00734,154
DB00734,1129
DB00734,1132
DB00734,153
DB00734,1128
DB00734,6915
DB00734,1816
DB00734,3351
DB00734,3354
DB00734,3355
DB00734,6532
DB00734,3363
DB00734,3357
DB00734,3362
DB00734,3757
DB00734,10280
DB00738,6582
DB00738,6581
DB00738,6285
DB00738,5644
DB00738,6303
DB00738,6768
DB00744,4048
DB00744,241
DB00744,2053
DB00744,1241
DB00751,6582
DB00762,6582
DB00762,43
DB00773,836
DB00780,23028
DB00780,1558
DB00780,6531
DB00783,6580
DB00783,6581
DB00783,2103
DB00783,6462
DB00783,367
DB00783,2101
DB00783,316
DB00784,8644
DB00784,1646
DB00784,1645
DB00797,151
DB00797,152
DB00800,1813
DB00808,771
DB00808,760
DB00808,765
DB00810,1129
DB00810,1132
DB00810,1133
DB00810,1131
DB00811,3615
DB00822,8989
DB00822,11343
DB00831,1129
DB00831,5243
DB00831,3350
DB00831,150
DB00831,151
DB00831,152
DB00831,1131
DB00831,1815
DB00831,3356
DB00831,3358
DB00831,3363
DB00831,3269
DB00831,1814
DB00831,3362
DB00831,10682
DB00831,10280
DB00831,84650
DB00834,8856
DB00834,4306
DB00834,1576
DB00834,367
DB00834,2100
DB00836,5243
DB00836,3269
DB00836,7010
DB00841,771
DB00841,759
DB00841,760
DB00841,761
DB00841,762
DB00841,765
DB00841,763
DB00841,768
DB00841,11238
DB00857,6713
DB00860,4306
DB00860,367
DB00860,2752
DB00862,5138
DB00862,5152
DB00862,50940
DB00862,10846
DB00869,761
DB00869,765
DB00869,768
DB00869,23632
DB00870,1559
DB00878,6582
DB00878,6580
DB00878,6581
DB00878,4313
DB00878,4318
DB00887,771
DB00887,759
DB00887,760
DB00887,762
DB00887,765
DB00887,763
DB00887,768
DB00887,23632
DB00887,11238
DB00889,6582
DB00889,9177
DB00889,3757
DB00904,6582
DB00904,9177
DB00904,3757
DB00908,5243
DB00908,1565
DB00909,765
DB00912,6580
DB00914,6580
DB00917,27306
DB00917,5737
DB00917,5739
DB00917,117144
DB00917,117155
DB00920,3356
DB00920,3358
DB00920,3357
DB00925,6582
DB00925,6580
DB00925,6581
DB00934,1813
DB00934,1812
DB00934,1816
DB00934,6530
DB00934,6532
DB00934,1814
DB00934,6531
DB00934,11255
DB00935,151
DB00935,152
DB00935,3352
DB00935,3351
DB00935,3356
DB00935,3358
DB00935,3354
DB00935,3357
DB00935,11188
DB00943,7852
DB00951,1557
DB00953,3350
DB00953,3356
DB00953,3358
DB00966,186
DB00968,1491
DB00972,1565
DB00972,11255
DB00975,5138
DB00975,6582
DB00975,10257
DB00975,5151
DB00975,58497
DB00975,2030
DB00975,50940
DB00975,27115
DB00977,6582
DB00977,6462
DB00977,316
DB00977,2100
DB00983,153
DB00983,155
DB00988,3350
DB00988,6530
DB00988,6531
DB00997,6790
DB00997,5243
DB00997,4313
DB00997,1717
DB00999,765
DB00999,763
DB00999,23632
DB00999,11238
DB01006,1588
DB01006,1584
DB01006,1585
DB01007,1586
DB01009,9356
DB01012,846
DB01019,1128
DB01021,771
DB01021,765
DB01021,763
DB01021,768
DB01021,23632
DB01021,11238
DB01023,1080
DB01023,9971
DB01024,5468
DB01029,1909
DB01030,3091
DB01030,9429
DB01032,9356
DB01036,3757
DB01039,5468
DB01043,2902
DB01050,9356
DB01062,1132
DB01062,1133
DB01064,156
DB01065,4504
DB01065,3357
DB01067,1576
DB01074,3757
DB01083,7920
DB01083,1268
DB01083,7941
DB01083,26090
DB01083,221955
DB01083,747
DB01094,1543
DB01094,1432
DB01094,1545
DB01103,5621
DB01103,316
DB01110,2916
DB01110,1586
DB01110,5243
DB01110,1576
DB01110,1588
DB01110,1595
DB01113,5138
DB01113,8654
DB01113,3757
DB01113,5140
DB01113,5139
DB01114,3357
DB01114,3757
DB01114,59340
DB01115,1576
DB01115,3741
DB01124,213
DB01127,7226
DB01127,1586
DB01127,1576
DB01127,1595
DB01128,5241
DB01132,4129
DB01136,6582
DB01136,5243
DB01136,155
DB01144,771
DB01144,765
DB01144,763
DB01144,768
DB01144,23632
DB01144,11238
DB01156,6530
DB01156,6532
DB01156,6531
DB01162,150
DB01162,151
DB01162,152
DB01166,5140
DB01171,3350
DB01173,6582
DB01173,1129
DB01173,1132
DB01173,1133
DB01173,1128
DB01173,1131
DB01173,3757
DB01175,6532
DB01182,10060
DB01182,5243
DB01183,2831
DB01184,6582
DB01184,3757
DB01186,3757
DB01194,771
DB01194,768
DB01197,2147
DB01197,5972
DB01204,5292
DB01204,4363
DB01204,695
DB01205,2557
DB01205,2559
DB01217,1588
DB01224,154
DB01224,153
DB01224,6915
DB01224,6530
DB01224,3355
DB01224,6532
DB01224,3757
DB01234,5319
DB01234,5241
DB01234,4306
DB01234,367
DB01234,5743
DB01238,5582
DB01238,154
DB01238,5243
DB01238,153
DB01238,6530
DB01238,6532
DB01238,3357
DB01238,6531
DB01238,3757
DB01239,1815
DB01239,1816
DB01239,11255
DB01241,1558
DB01241,1559
DB01242,150
DB01242,1813
DB01242,1812
DB01242,6530
DB01242,3274
DB01242,6532
DB01242,148
DB01242,1814
DB01242,3362
DB01242,6531
DB01243,240
DB01243,239
DB01244,3757
DB01245,1129
DB01245,11255
DB01254,658
DB01254,10494
DB01254,6790
DB01254,2051
DB01254,9175
DB01254,6885
DB01254,8767
DB01254,1956
DB01254,5894
DB01254,1436
DB01254,5979
DB01254,3055
DB01254,1576
DB01254,2260
DB01254,673
DB01254,5156
DB01254,2065
DB01254,2261
DB01254,2048
DB01254,7297
DB01254,3791
DB01254,2322
DB01254,657
DB01254,7006
DB01254,7294
DB01254,1452
DB01254,4751
DB01254,3718
DB01254,3984
DB01254,2050
DB01254,4661
DB01254,695
DB01254,780
DB01254,5871
DB01254,6789
DB01254,5607
DB01254,5753
DB01254,2066
DB01254,1432
DB01254,4921
DB01254,388228
DB01254,80122
DB01254,25989
DB01254,7444
DB01254,50488
DB01254,79858
DB01254,140901
DB01254,9212
DB01254,4215
DB01254,85366
DB01254,51347
DB01254,285220
DB01254,9344
DB01254,23387
DB01254,10746
DB01259,5287
DB01259,5609
DB01259,6793
DB01259,1576
DB01259,5159
DB01259,2065
DB01259,5607
DB01259,2066
DB01259,9748
DB01259,5298
DB01268,658
DB01268,10733
DB01268,1111
DB01268,6790
DB01268,2580
DB01268,2051
DB01268,9128
DB01268,1613
DB01268,3717
DB01268,23476
DB01268,9252
DB01268,8986
DB01268,8576
DB01268,9262
DB01268,6793
DB01268,11200
DB01268,25
DB01268,1956
DB01268,4914
DB01268,3643
DB01268,3932
DB01268,2534
DB01268,7525
DB01268,4067
DB01268,5979
DB01268,4233
DB01268,3055
DB01268,2268
DB01268,2260
DB01268,1019
DB01268,6714
DB01268,5261
DB01268,2241
DB01268,5578
DB01268,1459
DB01268,2263
DB01268,2264
DB01268,2261
DB01268,6198
DB01268,3716
DB01268,1017
DB01268,4140
DB01268,7297
DB01268,7272
DB01268,7075
DB01268,4145
DB01268,27
DB01268,5601
DB01268,6416
DB01268,5606
DB01268,1452
DB01268,1195
DB01268,1196
DB01268,6197
DB01268,4751
DB01268,5608
DB01268,5602
DB01268,2044
DB01268,2050
DB01268,2047
DB01268,1457
DB01268,8788
DB01268,1020
DB01268,5127
DB01268,5747
DB01268,695
DB01268,10188
DB01268,3757
DB01268,5871
DB01268,7786
DB01268,6789
DB01268,5562
DB01268,5607
DB01268,5598
DB01268,8899
DB01268,816
DB01268,818
DB01268,817
DB01268,5753
DB01268,8536
DB01268,6196
DB01268,2045
DB01268,6195
DB01268,4638
DB01268,5260
DB01268,4921
DB01268,22848
DB01268,91807
DB01268,388228
DB01268,120892
DB01268,25778
DB01268,2011
DB01268,204851
DB01268,57118
DB01268,84254
DB01268,53904
DB01268,23678
DB01268,9212
DB01268,57172
DB01268,10645
DB01268,8569
DB01268,85366
DB01268,9748
DB01268,80351
DB01268,57396
DB01268,2872
DB01268,54861
DB01268,55589
DB01268,51135
DB01268,10769
DB01268,11040
DB01268,9263
DB01268,285220
DB01268,23604
DB01268,238
DB01268,6795
DB01268,815
DB01268,23012
DB01268,11183
DB01268,4216
DB01333,6564
DB01339,6582
DB01367,4128
DB01392,1565
DB01392,146
DB01392,3354
DB01392,3355
DB01392,6532
DB01392,148
DB01392,147
DB01392,3357
DB01420,1586
DB01586,6554
DB01620,59340
DB01645,8972
DB01645,2103
DB01645,25
DB01645,1956
DB01645,2101
DB01645,3292
DB01645,5578
DB01645,3293
DB01645,316
DB01645,1432
DB01645,9429
DB01656,5141
DB01656,5142
DB01656,5144
DB01708,6462
DB01708,2539
DB01718,1759
DB01941,5914
DB01941,5915
DB01941,5916
DB01941,6256
DB01941,5468
DB02115,3558
DB02255,102
DB02255,8038
DB02255,9507
DB02255,4312
DB02255,4313
DB02255,4314
DB02255,4316
DB02255,4318
DB02255,4317
DB02255,4321
DB02255,4323
DB02255,4324
DB02255,6868
DB02255,8754
DB02255,4326
DB02255,11096
DB02266,7276
DB02266,4353
DB02266,1646
DB02266,54795
DB02375,1543
DB02375,3643
DB02375,4137
DB02375,5292
DB02375,1588
DB02375,4363
DB02375,2322
DB02375,3293
DB02375,7498
DB02375,5602
DB02375,3735
DB02375,4638
DB02375,1432
DB02375,1545
DB02546,9611
DB02546,9759
DB02546,51564
DB02546,83933
DB02546,79885
DB02546,9734
DB02546,10014
DB02567,658
DB02567,10494
DB02567,2580
DB02567,2051
DB02567,8767
DB02567,3717
DB02567,6793
DB02567,9448
DB02567,25
DB02567,1956
DB02567,5894
DB02567,3932
DB02567,2534
DB02567,4869
DB02567,2242
DB02567,1436
DB02567,7525
DB02567,4067
DB02567,5979
DB02567,4233
DB02567,3055
DB02567,5159
DB02567,2268
DB02567,3815
DB02567,2260
DB02567,6714
DB02567,673
DB02567,5156
DB02567,2241
DB02567,2321
DB02567,2041
DB02567,2263
DB02567,2065
DB02567,2264
DB02567,2261
DB02567,3716
DB02567,92
DB02567,4140
DB02567,1969
DB02567,2042
DB02567,2046
DB02567,2048
DB02567,7297
DB02567,7465
DB02567,5596
DB02567,7075
DB02567,2324
DB02567,3791
DB02567,5605
DB02567,2322
DB02567,657
DB02567,91
DB02567,7046
DB02567,94
DB02567,7048
DB02567,1445
DB02567,7006
DB02567,7294
DB02567,27
DB02567,2444
DB02567,6850
DB02567,5599
DB02567,6416
DB02567,5606
DB02567,640
DB02567,660
DB02567,4751
DB02567,3718
DB02567,5608
DB02567,3984
DB02567,3985
DB02567,2049
DB02567,2044
DB02567,2050
DB02567,2047
DB02567,2043
DB02567,150094
DB02567,4293
DB02567,5604
DB02567,7010
DB02567,4294
DB02567,90
DB02567,4486
DB02567,695
DB02567,7301
DB02567,10188
DB02567,780
DB02567,5871
DB02567,6789
DB02567,5607
DB02567,6788
DB02567,8711
DB02567,8737
DB02567,93
DB02567,5753
DB02567,2185
DB02567,2066
DB02567,7016
DB02567,5600
DB02567,4916
DB02567,1432
DB02567,5597
DB02567,4921
DB02567,91807
DB02567,80122
DB02567,51086
DB02567,120892
DB02567,8476
DB02567,55561
DB02567,2011
DB02567,57551
DB02567,8491
DB02567,9024
DB02567,167359
DB02567,50488
DB02567,79858
DB02567,56997
DB02567,79837
DB02567,84446
DB02567,140901
DB02567,11184
DB02567,79934
DB02567,4750
DB02567,9088
DB02567,4215
DB02567,23235
DB02567,85366
DB02567,9748
DB02567,51347
DB02567,6725
DB02567,1263
DB02567,27148
DB02567,55351
DB02567,51776
DB02567,51765
DB02567,440275
DB02567,51701
DB02567,285220
DB02567,23043
DB02567,9344
DB02567,6795
DB02567,23387
DB02567,10746
DB02567,11183
DB02567,9578
DB02567,8428
DB02567,4216
DB02587,6513
DB02587,107
DB02656,5293
DB02656,23476
DB02656,6046
DB02656,5295
DB02656,5290
DB02656,5291
DB02656,2475
DB02656,2932
DB02656,5347
DB02656,5591
DB02656,8019
DB02656,415116
DB02656,1263
DB02709,771
DB02709,759
DB02709,760
DB02709,2099
DB02709,761
DB02709,762
DB02709,765
DB02709,763
DB02709,5468
DB02709,1545
DB02709,768
DB02709,23632
DB02709,11238
DB02733,3643
DB02733,1020
DB02789,6462
DB02877,5914
DB02877,5916
DB03044,5603
DB03044,6885
DB03044,8767
DB03044,6793
DB03044,25
DB03044,1956
DB03044,7124
DB03044,4914
DB03044,3315
DB03044,5579
DB03044,3932
DB03044,7525
DB03044,4067
DB03044,5979
DB03044,3055
DB03044,5159
DB03044,2268
DB03044,3815
DB03044,673
DB03044,2321
DB03044,2041
DB03044,2264
DB03044,5594
DB03044,1969
DB03044,2042
DB03044,2046
DB03044,2048
DB03044,7272
DB03044,2324
