Drug1,Drug2,cell,drug1_db,drug2_db,synergy
PRALATREXATE,AMIFOSTINE,PC3,DB06813,DB01143,2.9
SORAFENIB,MITOTANE,BT549,DB00398,DB00648,1.54
FLUDARABINE BASE,PRALATREXATE,SW620,DB01073,DB06813,-1.9
LETROZOLE,BLEOMYCIN,RPMI8226,DB01006,DB00290,-5.6
THALIDOMIDE,METHOXSALEN,SF295,DB01041,DB00553,-0.61
MITOTANE,METHOTREXATE,SKOV3,DB00648,DB00563,4.46
CYTARABINE HYDROCHLORIDE,AMIFOSTINE,HCT116,DB00987,DB01143,10.89
TRETINOIN,IMIQUIMOD,NCIH23,DB00755,DB00724,0.04
MERCAPTOPURINE,AMIFOSTINE,UACC62,DB01033,DB01143,0.44
HYDROXYUREA,QUINACRINE HYDROCHLORIDE,K562,DB01005,DB01103,1.05
SUNITINIB,IXABEPILONE,NCIH226,DB01268,DB04845,2.63
CELECOXIB,QUINACRINE HYDROCHLORIDE,LOXIMVI,DB00482,DB01103,-1.74
IMATINIB,BORTEZOMIB,SKOV3,DB00619,DB00188,-2.36
CARMUSTINE,IXABEPILONE,BT549,DB00262,DB04845,-0.05
RALOXIFENE,SUNITINIB,A549,DB00481,DB01268,2.35
CELECOXIB,BLEOMYCIN,786O,DB00482,DB00290,5.17
MEGESTROL ACETATE,AMIFOSTINE,UACC62,DB00351,DB01143,1.73
LETROZOLE,HYDROXYUREA,MALME3M,DB01006,DB01005,1.7
SORAFENIB,CARMUSTINE,MDAMB231,DB00398,DB00262,-3.65
MITOTANE,ARSENIC TRIOXIDE,OVCAR4,DB00648,DB01169,0.33
RALOXIFENE,CARMUSTINE,SKMEL28,DB00481,DB00262,5.08
AZACYTIDINE,METHOXSALEN,MOLT4,DB00928,DB00553,-2.31
ZOLEDRONIC ACID,AMIFOSTINE,A549,DB00399,DB01143,-3.92
AMIFOSTINE,ARSENIC TRIOXIDE,SF295,DB01143,DB01169,-1.6
TAMOXIFEN CITRATE,MERCAPTOPURINE,PC3,DB00675,DB01033,-6.76
MITOTANE,NILOTINIB,HCT15,DB00648,DB04868,3.34
LAPATINIB,HYDROXYUREA,OVCAR8,DB01259,DB01005,-2.87
LETROZOLE,ARSENIC TRIOXIDE,SKMEL2,DB01006,DB01169,2.96
BLEOMYCIN,CARMUSTINE,A549,DB00290,DB00262,1.83
AMIFOSTINE,TOPOTECAN HYDROCHLORIDE,U251MG,DB01143,DB01030,-0.03
HYDROXYUREA,IXABEPILONE,HL60,DB01005,DB04845,-2.18
AZACYTIDINE,THALIDOMIDE,HCT15,DB00928,DB01041,-9.42
ZOLEDRONIC ACID,METHOTREXATE,HL60,DB00399,DB00563,5.26
PRALATREXATE,ALLOPURINOL,HCT15,DB06813,DB00437,-0.89
AMIFOSTINE,ARSENIC TRIOXIDE,LOXIMVI,DB01143,DB01169,3.78
ANASTROZOLE,QUINACRINE HYDROCHLORIDE,KM12,DB01217,DB01103,-6.71
DOCETAXEL,ALLOPURINOL,SW620,DB01248,DB00437,-2.6
HYDROXYUREA,MERCAPTOPURINE,SKMEL5,DB01005,DB01033,-5.33
PACLITAXEL,BORTEZOMIB,MALME3M,DB01229,DB00188,-3.17
HYDROXYUREA,IXABEPILONE,UACC62,DB01005,DB04845,6.19
RALOXIFENE,LOMUSTINE,HCT116,DB00481,DB01206,1.19
SUNITINIB,FULVESTRANT,NCIH23,DB01268,DB00947,0.64
FLUDARABINE BASE,METHOXSALEN,DU145,DB01073,DB00553,-0.54
ALLOPURINOL,QUINACRINE HYDROCHLORIDE,COLO205,DB00437,DB01103,2.18
ANASTROZOLE,CARMUSTINE,OVCAR8,DB01217,DB00262,1.26
QUINACRINE HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,HT29,DB01103,DB01030,0.73
METHOXSALEN,TOPOTECAN HYDROCHLORIDE,NCIH322,DB00553,DB01030,0.51
TAMOXIFEN CITRATE,IMIQUIMOD,HCT15,DB00675,DB00724,0.05
FLUDARABINE BASE,DOCETAXEL,T47D,DB01073,DB01248,1.83
IMIQUIMOD,CARMUSTINE,MOLT4,DB00724,DB00262,-5.24
RALOXIFENE,IXABEPILONE,NCIH522,DB00481,DB04845,-0.64
DACARBAZINE,BLEOMYCIN,K562,DB00851,DB00290,-3.29
ZOLEDRONIC ACID,ARSENIC TRIOXIDE,SKMEL28,DB00399,DB01169,1.56
TAMOXIFEN CITRATE,MITOTANE,SKOV3,DB00675,DB00648,1.81
NILOTINIB,SUNITINIB,ACHN,DB04868,DB01268,0.48
TENIPOSIDE,DASATINIB,DU145,DB00444,DB01254,-1.38
CELECOXIB,PACLITAXEL,A549,DB00482,DB01229,15.87
IMATINIB,QUINACRINE HYDROCHLORIDE,BT549,DB00619,DB01103,-3.74
HYDROXYUREA,METHOXSALEN,T47D,DB01005,DB00553,-2.24
ANASTROZOLE,AZACYTIDINE,NCIH322,DB01217,DB00928,2.04
FLUDARABINE BASE,CARMUSTINE,COLO205,DB01073,DB00262,3.87
HYDROXYUREA,MERCAPTOPURINE,COLO205,DB01005,DB01033,-10.95
ANASTROZOLE,MERCAPTOPURINE,DU145,DB01217,DB01033,7.65
FULVESTRANT,ARSENIC TRIOXIDE,UACC257,DB00947,DB01169,5.48
METHOTREXATE,CYTARABINE HYDROCHLORIDE,K562,DB00563,DB00987,-4.61
CYTARABINE HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,SKMEL5,DB00987,DB01030,-3.94
RALOXIFENE,IMATINIB,PC3,DB00481,DB00619,2.14
HYDROXYUREA,QUINACRINE HYDROCHLORIDE,HT29,DB01005,DB01103,-0.44
LAPATINIB,SORAFENIB,786O,DB01259,DB00398,2.37
FLUDARABINE BASE,DASATINIB,NCIH460,DB01073,DB01254,-0.13
HYDROXYUREA,THALIDOMIDE,SKOV3,DB01005,DB01041,0.03
PACLITAXEL,FULVESTRANT,SF295,DB01229,DB00947,0.08
LAPATINIB,SUNITINIB,SKMEL5,DB01259,DB01268,-0.28
CELECOXIB,AZACYTIDINE,NCIH23,DB00482,DB00928,-0.86
PACLITAXEL,CARMUSTINE,IGROV1,DB01229,DB00262,-1.5
RALOXIFENE,GEFITINIB,MCF7,DB00481,DB00317,-9.36
IMIQUIMOD,BORTEZOMIB,SKMEL5,DB00724,DB00188,-4.16
SORAFENIB,MITOTANE,OVCAR4,DB00398,DB00648,3.11
MERCAPTOPURINE,IXABEPILONE,U251MG,DB01033,DB04845,-1.23
DASATINIB,MERCAPTOPURINE,HCT15,DB01254,DB01033,6.95
SUNITINIB,HYDROXYUREA,PC3,DB01268,DB01005,-0.64
SUNITINIB,ALLOPURINOL,SKOV3,DB01268,DB00437,1.7
PEMETREXED,METHOTREXATE,HL60,DB00642,DB00563,-0.88
IMATINIB,QUINACRINE HYDROCHLORIDE,HT29,DB00619,DB01103,-1.6
QUINACRINE HYDROCHLORIDE,CARMUSTINE,SF295,DB01103,DB00262,-5.14
CELECOXIB,TAMOXIFEN CITRATE,UACC62,DB00482,DB00675,1.04
NILOTINIB,ZOLEDRONIC ACID,MDAMB468,DB04868,DB00399,-0.21
LETROZOLE,FLUDARABINE BASE,HS578T,DB01006,DB01073,-3.78
DOCETAXEL,CARMUSTINE,HS578T,DB01248,DB00262,-4.29
ZOLEDRONIC ACID,PRALATREXATE,OVCAR4,DB00399,DB06813,-0.18
RALOXIFENE,ALLOPURINOL,ACHN,DB00481,DB00437,0
RALOXIFENE,MITOXANTRONE,HS578T,DB00481,DB01204,5.79
RALOXIFENE,LOMUSTINE,SNB19,DB00481,DB01206,-1.31
PRALATREXATE,ARSENIC TRIOXIDE,SKMEL2,DB06813,DB01169,-0.61
AZACYTIDINE,PRALATREXATE,HL60,DB00928,DB06813,2.03
SORAFENIB,TOPOTECAN HYDROCHLORIDE,HCT116,DB00398,DB01030,-2.19
NILOTINIB,IXABEPILONE,OVCAR8,DB04868,DB04845,2.39
FLUDARABINE BASE,ALLOPURINOL,NCIH23,DB01073,DB00437,-2.01
RALOXIFENE,PACLITAXEL,NCIH23,DB00481,DB01229,5.7
RALOXIFENE,DACARBAZINE,T47D,DB00481,DB00851,-5.83
CYTARABINE HYDROCHLORIDE,FLUDARABINE BASE,KM12,DB00987,DB01073,-1.09
LAPATINIB,HYDROXYUREA,COLO205,DB01259,DB01005,1.45
MITOTANE,PRALATREXATE,UACC62,DB00648,DB06813,0.5
IMATINIB,ZOLEDRONIC ACID,OVCAR4,DB00619,DB00399,-0.28
ALLOPURINOL,IMIQUIMOD,SKMEL5,DB00437,DB00724,1.35
RALOXIFENE,ALLOPURINOL,MDAMB468,DB00481,DB00437,0.87
QUINACRINE HYDROCHLORIDE,CARMUSTINE,HL60,DB01103,DB00262,-6.53
GEFITINIB,AMIFOSTINE,SKMEL28,DB00317,DB01143,-4.77
CYTARABINE HYDROCHLORIDE,DOCETAXEL,NCIH23,DB00987,DB01248,0.08
METHOTREXATE,CYTARABINE HYDROCHLORIDE,HS578T,DB00563,DB00987,-11.96
PACLITAXEL,HYDROXYUREA,MOLT4,DB01229,DB01005,-1.09
DACARBAZINE,AMIFOSTINE,ACHN,DB00851,DB01143,0.01
CYTARABINE HYDROCHLORIDE,HYDROXYUREA,MCF7,DB00987,DB01005,-1.97
RALOXIFENE,MERCAPTOPURINE,SKMEL28,DB00481,DB01033,10.12
QUINACRINE HYDROCHLORIDE,AMIFOSTINE,UACC257,DB01103,DB01143,3.86
5-FU,AMIFOSTINE,MALME3M,DB00544,DB01143,4.37
NILOTINIB,AMIFOSTINE,CAKI1,DB04868,DB01143,3.48
CELECOXIB,SORAFENIB,UACC257,DB00482,DB00398,-1.81
MITOXANTRONE,AMIFOSTINE,LOXIMVI,DB01204,DB01143,0.81
FULVESTRANT,DOCETAXEL,NCIH23,DB00947,DB01248,24.91
AMIFOSTINE,ARSENIC TRIOXIDE,NCIH522,DB01143,DB01169,0.27
METHOXSALEN,AMIFOSTINE,RPMI8226,DB00553,DB01143,11.25
DEXRAZOXANE,BLEOMYCIN,A498,DB00380,DB00290,-5.22
QUINACRINE HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,UACC257,DB01103,DB00530,7.28
FULVESTRANT,ALLOPURINOL,HT29,DB00947,DB00437,1.29
CELECOXIB,BLEOMYCIN,NCIH522,DB00482,DB00290,0.65
LETROZOLE,THALIDOMIDE,PC3,DB01006,DB01041,-0.27
TENIPOSIDE,AMIFOSTINE,A549,DB00444,DB01143,3.11
IMIQUIMOD,CARMUSTINE,PC3,DB00724,DB00262,-2.78
NILOTINIB,DASATINIB,RPMI8226,DB04868,DB01254,2.56
LETROZOLE,IMATINIB,786O,DB01006,DB00619,0.65
TAMOXIFEN CITRATE,TOPOTECAN HYDROCHLORIDE,U251MG,DB00675,DB01030,-2.44
METHOTREXATE,NILOTINIB,SKMEL28,DB00563,DB04868,0.12
RALOXIFENE,LETROZOLE,MCF7,DB00481,DB01006,-1.52
TRETINOIN,BLEOMYCIN,SF295,DB00755,DB00290,1.14
MERCAPTOPURINE,ALLOPURINOL,SNB19,DB01033,DB00437,-4.61
MITOXANTRONE,AMIFOSTINE,HT29,DB01204,DB01143,0.33
METHOTREXATE,FLUDARABINE BASE,COLO205,DB00563,DB01073,-1.73
DAUNORUBICIN HYDROCHLORIDE,BLEOMYCIN,PC3,DB00694,DB00290,-7.99
SORAFENIB,ANASTROZOLE,SF295,DB00398,DB01217,-1.18
LETROZOLE,TOPOTECAN HYDROCHLORIDE,NCIH226,DB01006,DB01030,-2.47
METHOTREXATE,AMIFOSTINE,HCT15,DB00563,DB01143,-8.78
AZACYTIDINE,ERLOTINIB HYDROCHLORIDE,CAKI1,DB00928,DB00530,0.47
PRALATREXATE,METHOXSALEN,NCIH23,DB06813,DB00553,-5.01
ZOLEDRONIC ACID,ALLOPURINOL,786O,DB00399,DB00437,2.05
LAPATINIB,SUNITINIB,CAKI1,DB01259,DB01268,1.06
CYTARABINE HYDROCHLORIDE,CARMUSTINE,COLO205,DB00987,DB00262,3.21
ALLOPURINOL,METHOXSALEN,PC3,DB00437,DB00553,1.2
MERCAPTOPURINE,ERLOTINIB HYDROCHLORIDE,OVCAR8,DB01033,DB00530,-5.25
FLUDARABINE BASE,PRALATREXATE,UACC257,DB01073,DB06813,4.85
ALLOPURINOL,ERLOTINIB HYDROCHLORIDE,MALME3M,DB00437,DB00530,-3.29
CELECOXIB,METHOXSALEN,COLO205,DB00482,DB00553,4.55
RALOXIFENE,TRETINOIN,HS578T,DB00481,DB00755,-3.33
IMATINIB,IMIQUIMOD,MDAMB468,DB00619,DB00724,-2.02
LOMUSTINE,BLEOMYCIN,SKMEL2,DB01206,DB00290,3.22
DASATINIB,LAPATINIB,OVCAR4,DB01254,DB01259,-1.13
TRETINOIN,DOCETAXEL,HL60,DB00755,DB01248,5.77
BLEOMYCIN,BORTEZOMIB,SNB19,DB00290,DB00188,2.06
FLUDARABINE BASE,ARSENIC TRIOXIDE,NCIH226,DB01073,DB01169,-2.17
MITOTANE,QUINACRINE HYDROCHLORIDE,UACC62,DB00648,DB01103,-1.11
MERCAPTOPURINE,THALIDOMIDE,U251MG,DB01033,DB01041,5.38
ALLOPURINOL,THALIDOMIDE,UACC62,DB00437,DB01041,0.12
CELECOXIB,NILOTINIB,NCIH226,DB00482,DB04868,2.77
RALOXIFENE,PEMETREXED,UACC62,DB00481,DB00642,-0.79
FLUDARABINE BASE,ANASTROZOLE,786O,DB01073,DB01217,0.81
FLUDARABINE BASE,ALLOPURINOL,NCIH322,DB01073,DB00437,-1.99
IMATINIB,MERCAPTOPURINE,SW620,DB00619,DB01033,2.51
TRETINOIN,QUINACRINE HYDROCHLORIDE,OVCAR8,DB00755,DB01103,-8.12
TAMOXIFEN CITRATE,IMATINIB,IGROV1,DB00675,DB00619,-2.08
LAPATINIB,MITOTANE,BT549,DB01259,DB00648,1.76
NILOTINIB,QUINACRINE HYDROCHLORIDE,MCF7,DB04868,DB01103,-6.65
LAPATINIB,PRALATREXATE,K562,DB01259,DB06813,5.08
CYTARABINE HYDROCHLORIDE,PRALATREXATE,NCIH522,DB00987,DB06813,-9.05
DOCETAXEL,METHOXSALEN,NCIH23,DB01248,DB00553,-3.8
TOPOTECAN HYDROCHLORIDE,ARSENIC TRIOXIDE,COLO205,DB01030,DB01169,-2.59
DOCETAXEL,AZACYTIDINE,OVCAR4,DB01248,DB00928,-8.72
CARMUSTINE,ERLOTINIB HYDROCHLORIDE,CAKI1,DB00262,DB00530,3.12
MITOXANTRONE,AMIFOSTINE,786O,DB01204,DB01143,2.27
RALOXIFENE,PACLITAXEL,UACC62,DB00481,DB01229,-1.54
MERCAPTOPURINE,TOPOTECAN HYDROCHLORIDE,BT549,DB01033,DB01030,-1.43
IMATINIB,SORAFENIB,NCIH460,DB00619,DB00398,-0.67
SORAFENIB,CARMUSTINE,SF295,DB00398,DB00262,-2.42
CYTARABINE HYDROCHLORIDE,FULVESTRANT,HL60,DB00987,DB00947,6.55
HYDROXYUREA,ERLOTINIB HYDROCHLORIDE,A549,DB01005,DB00530,-1.49
LETROZOLE,QUINACRINE HYDROCHLORIDE,KM12,DB01006,DB01103,-0.13
ANASTROZOLE,NILOTINIB,NCIH226,DB01217,DB04868,-0.51
FULVESTRANT,PRALATREXATE,NCIH23,DB00947,DB06813,6.62
METHOTREXATE,METHOXSALEN,SKMEL28,DB00563,DB00553,-8.94
METHOTREXATE,MERCAPTOPURINE,ACHN,DB00563,DB01033,-6.72
PRALATREXATE,METHOTREXATE,MCF7,DB06813,DB00563,8.53
ZOLEDRONIC ACID,MERCAPTOPURINE,MOLT4,DB00399,DB01033,-4.02
IMATINIB,IXABEPILONE,SW620,DB00619,DB04845,14.1
PACLITAXEL,BORTEZOMIB,MDAMB468,DB01229,DB00188,1.83
CARMUSTINE,ERLOTINIB HYDROCHLORIDE,MCF7,DB00262,DB00530,0.88
PRALATREXATE,IMIQUIMOD,NCIH226,DB06813,DB00724,4.15
DASATINIB,ANASTROZOLE,NCIH23,DB01254,DB01217,-3.91
MITOTANE,IXABEPILONE,KM12,DB00648,DB04845,3.42
PACLITAXEL,THALIDOMIDE,U251MG,DB01229,DB01041,-0.3
PRALATREXATE,IMIQUIMOD,SKMEL28,DB06813,DB00724,1.02
QUINACRINE HYDROCHLORIDE,AMIFOSTINE,MDAMB468,DB01103,DB01143,-8.78
THALIDOMIDE,BORTEZOMIB,OVCAR8,DB01041,DB00188,2.2
CYTARABINE HYDROCHLORIDE,HYDROXYUREA,SW620,DB00987,DB01005,0.43
METHOTREXATE,NILOTINIB,MCF7,DB00563,DB04868,0.32
HYDROXYUREA,THALIDOMIDE,OVCAR8,DB01005,DB01041,-0.88
CYTARABINE HYDROCHLORIDE,IXABEPILONE,A498,DB00987,DB04845,-9.29
RALOXIFENE,VISMODEGIB,NCIH460,DB00481,DB08828,2.09
FULVESTRANT,ARSENIC TRIOXIDE,HS578T,DB00947,DB01169,0.31
RALOXIFENE,MITOXANTRONE,ACHN,DB00481,DB01204,8.92
MITOTANE,TOPOTECAN HYDROCHLORIDE,UACC62,DB00648,DB01030,1.19
CYTARABINE HYDROCHLORIDE,METHOXSALEN,786O,DB00987,DB00553,-6.51
PACLITAXEL,BLEOMYCIN,SKMEL2,DB01229,DB00290,-11.4
NILOTINIB,THALIDOMIDE,UACC62,DB04868,DB01041,0.57
AZACYTIDINE,IXABEPILONE,NCIH522,DB00928,DB04845,-2.53
RALOXIFENE,HYDROXYUREA,SNB19,DB00481,DB01005,-1.69
HYDROXYUREA,IMIQUIMOD,LOXIMVI,DB01005,DB00724,-1.64
RALOXIFENE,MITOTANE,SW620,DB00481,DB00648,-0.86
AZACYTIDINE,PRALATREXATE,CAKI1,DB00928,DB06813,-0.08
MITOTANE,ARSENIC TRIOXIDE,MOLT4,DB00648,DB01169,-1.35
RALOXIFENE,MEGESTROL ACETATE,NCIH522,DB00481,DB00351,-0.04
RALOXIFENE,AZACYTIDINE,COLO205,DB00481,DB00928,2.39
FLUDARABINE BASE,BLEOMYCIN,BT549,DB01073,DB00290,-6.81
RALOXIFENE,QUINACRINE HYDROCHLORIDE,ACHN,DB00481,DB01103,2.54
TENIPOSIDE,AMIFOSTINE,SW620,DB00444,DB01143,-3.43
RALOXIFENE,TOPOTECAN HYDROCHLORIDE,UACC62,DB00481,DB01030,-4.38
DASATINIB,LAPATINIB,MDAMB468,DB01254,DB01259,-4.99
CELECOXIB,IMIQUIMOD,UACC257,DB00482,DB00724,1.1
SUNITINIB,MERCAPTOPURINE,SNB19,DB01268,DB01033,-1.79
ANASTROZOLE,METHOXSALEN,DU145,DB01217,DB00553,1.56
HYDROXYUREA,MERCAPTOPURINE,UACC257,DB01005,DB01033,-6.76
RALOXIFENE,BLEOMYCIN,A498,DB00481,DB00290,-2.34
BLEOMYCIN,MERCAPTOPURINE,SKOV3,DB00290,DB01033,-0.51
LAPATINIB,QUINACRINE HYDROCHLORIDE,HL60,DB01259,DB01103,-6.15
LAPATINIB,CARMUSTINE,UACC62,DB01259,DB00262,-4.44
NILOTINIB,AZACYTIDINE,NCIH522,DB04868,DB00928,-0.91
SORAFENIB,ARSENIC TRIOXIDE,A498,DB00398,DB01169,-0.53
TRETINOIN,ANASTROZOLE,K562,DB00755,DB01217,3.92
BLEOMYCIN,METHOXSALEN,MCF7,DB00290,DB00553,-5.23
FULVESTRANT,CARMUSTINE,MDAMB468,DB00947,DB00262,-3.1
SUNITINIB,TOPOTECAN HYDROCHLORIDE,NCIH522,DB01268,DB01030,-1.89
MITOTANE,TOPOTECAN HYDROCHLORIDE,MALME3M,DB00648,DB01030,-3.75
SORAFENIB,AMIFOSTINE,UACC257,DB00398,DB01143,3.37
HYDROXYUREA,CARMUSTINE,T47D,DB01005,DB00262,-0.37
ZOLEDRONIC ACID,IXABEPILONE,ACHN,DB00399,DB04845,-0.56
TRETINOIN,ARSENIC TRIOXIDE,NCIH226,DB00755,DB01169,1.42
PACLITAXEL,LAPATINIB,NCIH226,DB01229,DB01259,0.22
BLEOMYCIN,ERLOTINIB HYDROCHLORIDE,NCIH322,DB00290,DB00530,3.3
ZOLEDRONIC ACID,BORTEZOMIB,BT549,DB00399,DB00188,2.19
AZACYTIDINE,DASATINIB,SW620,DB00928,DB01254,-8.24
FLUDARABINE BASE,ZOLEDRONIC ACID,HT29,DB01073,DB00399,4.5
MERCAPTOPURINE,AMIFOSTINE,A549,DB01033,DB01143,-5.9
IMATINIB,THALIDOMIDE,786O,DB00619,DB01041,-1.49
RALOXIFENE,FLUDARABINE BASE,NCIH322,DB00481,DB01073,5.44
FULVESTRANT,QUINACRINE HYDROCHLORIDE,NCIH226,DB00947,DB01103,-4.59
5-FU,DASATINIB,SKMEL28,DB00544,DB01254,2.34
PEMETREXED,AMIFOSTINE,K562,DB00642,DB01143,1.54
TRETINOIN,AZACYTIDINE,SKMEL5,DB00755,DB00928,-2.64
NILOTINIB,TOPOTECAN HYDROCHLORIDE,T47D,DB04868,DB01030,-2.31
RALOXIFENE,LETROZOLE,A498,DB00481,DB01006,-0.62
LETROZOLE,MERCAPTOPURINE,NCIH23,DB01006,DB01033,-3.61
CYTARABINE HYDROCHLORIDE,PRALATREXATE,NCIH460,DB00987,DB06813,-0.37
CYTARABINE HYDROCHLORIDE,PACLITAXEL,HT29,DB00987,DB01229,1.77
AZACYTIDINE,TOPOTECAN HYDROCHLORIDE,ACHN,DB00928,DB01030,-3.27
FULVESTRANT,METHOXSALEN,T47D,DB00947,DB00553,-6.53
MITOTANE,ALLOPURINOL,BT549,DB00648,DB00437,-2.5
FLUDARABINE BASE,AZACYTIDINE,ACHN,DB01073,DB00928,-5.85
DOCETAXEL,THALIDOMIDE,A498,DB01248,DB01041,-0.53
LETROZOLE,CELECOXIB,MDAMB468,DB01006,DB00482,1.96
LOMUSTINE,BLEOMYCIN,CAKI1,DB01206,DB00290,-11.4
CYTARABINE HYDROCHLORIDE,DOCETAXEL,OVCAR4,DB00987,DB01248,0.6
METHOTREXATE,CARMUSTINE,NCIH322,DB00563,DB00262,0.05
HYDROXYUREA,NILOTINIB,SKOV3,DB01005,DB04868,1.6
THALIDOMIDE,ARSENIC TRIOXIDE,NCIH226,DB01041,DB01169,-2.26
METHOTREXATE,TRETINOIN,NCIH226,DB00563,DB00755,-6.53
FLUDARABINE BASE,PACLITAXEL,K562,DB01073,DB01229,0.05
FLUDARABINE BASE,THALIDOMIDE,SNB19,DB01073,DB01041,-6.1
LAPATINIB,THALIDOMIDE,NCIH522,DB01259,DB01041,-4.07
CELECOXIB,ANASTROZOLE,CAKI1,DB00482,DB01217,2.42
QUINACRINE HYDROCHLORIDE,METHOXSALEN,BT549,DB01103,DB00553,10.94
RALOXIFENE,PEMETREXED,786O,DB00481,DB00642,-1.67
HYDROXYUREA,AMIFOSTINE,SNB19,DB01005,DB01143,-2.34
AZACYTIDINE,FULVESTRANT,K562,DB00928,DB00947,0.74
AMIFOSTINE,BORTEZOMIB,MCF7,DB01143,DB00188,-8.14
RALOXIFENE,MERCAPTOPURINE,MDAMB468,DB00481,DB01033,-1.44
CELECOXIB,CARMUSTINE,NCIH460,DB00482,DB00262,-1.34
FLUDARABINE BASE,THALIDOMIDE,NCIH522,DB01073,DB01041,-5.14
IMATINIB,ARSENIC TRIOXIDE,MOLT4,DB00619,DB01169,-3.26
ANASTROZOLE,METHOXSALEN,HS578T,DB01217,DB00553,-0.39
NILOTINIB,THALIDOMIDE,SKMEL28,DB04868,DB01041,-2.87
CELECOXIB,DOCETAXEL,KM12,DB00482,DB01248,14.39
MITOTANE,QUINACRINE HYDROCHLORIDE,DU145,DB00648,DB01103,-1.46
PACLITAXEL,LAPATINIB,COLO205,DB01229,DB01259,15.6
TAMOXIFEN CITRATE,ALLOPURINOL,HCT116,DB00675,DB00437,-3.06
RALOXIFENE,CRIZOTINIB,PC3,DB00481,DB08865,-0.36
NILOTINIB,DOCETAXEL,NCIH322,DB04868,DB01248,15.98
AZACYTIDINE,BORTEZOMIB,786O,DB00928,DB00188,-5.02
DASATINIB,IMIQUIMOD,786O,DB01254,DB00724,-3.8
LAPATINIB,MITOTANE,HL60,DB01259,DB00648,-11.36
CELECOXIB,NILOTINIB,HL60,DB00482,DB04868,13.83
PRALATREXATE,IXABEPILONE,SF295,DB06813,DB04845,2.56
SORAFENIB,CARMUSTINE,HS578T,DB00398,DB00262,-6.98
DOCETAXEL,BORTEZOMIB,UACC257,DB01248,DB00188,-2.94
PACLITAXEL,FULVESTRANT,KM12,DB01229,DB00947,2.96
PRALATREXATE,METHOXSALEN,NCIH522,DB06813,DB00553,3.04
BLEOMYCIN,ERLOTINIB HYDROCHLORIDE,ACHN,DB00290,DB00530,-2.15
TOPOTECAN HYDROCHLORIDE,BORTEZOMIB,NCIH322,DB01030,DB00188,-9.7
CELECOXIB,QUINACRINE HYDROCHLORIDE,HL60,DB00482,DB01103,2.7
AZACYTIDINE,TOPOTECAN HYDROCHLORIDE,NCIH322,DB00928,DB01030,-8.65
TRETINOIN,IMIQUIMOD,MOLT4,DB00755,DB00724,1.52
FLUDARABINE BASE,HYDROXYUREA,786O,DB01073,DB01005,2.38
CYTARABINE HYDROCHLORIDE,TRETINOIN,MOLT4,DB00987,DB00755,3.29
TRETINOIN,HYDROXYUREA,SNB19,DB00755,DB01005,-1.14
LAPATINIB,ALLOPURINOL,MCF7,DB01259,DB00437,9.2
DASATINIB,FULVESTRANT,MOLT4,DB01254,DB00947,14.55
LETROZOLE,METHOXSALEN,COLO205,DB01006,DB00553,2
METHOTREXATE,TAMOXIFEN CITRATE,RPMI8226,DB00563,DB00675,-0.14
FLUDARABINE BASE,TAMOXIFEN CITRATE,A549,DB01073,DB00675,-0.96
DASATINIB,HYDROXYUREA,U251MG,DB01254,DB01005,5.7
GEFITINIB,METHOTREXATE,HL60,DB00317,DB00563,-0.45
RALOXIFENE,DAUNORUBICIN HYDROCHLORIDE,MDAMB468,DB00481,DB00694,-2.12
LOMUSTINE,DASATINIB,PC3,DB01206,DB01254,-0.53
SORAFENIB,METHOTREXATE,A498,DB00398,DB00563,0.56
LETROZOLE,ZOLEDRONIC ACID,CAKI1,DB01006,DB00399,0.34
CELECOXIB,AZACYTIDINE,MDAMB468,DB00482,DB00928,1.4
RALOXIFENE,DASATINIB,KM12,DB00481,DB01254,3.55
RALOXIFENE,SORAFENIB,RPMI8226,DB00481,DB00398,9.06
HYDROXYUREA,METHOTREXATE,MDAMB231,DB01005,DB00563,-1.55
TRETINOIN,THALIDOMIDE,T47D,DB00755,DB01041,-0.32
DAUNORUBICIN HYDROCHLORIDE,AMIFOSTINE,A549,DB00694,DB01143,-2.56
PACLITAXEL,CARMUSTINE,COLO205,DB01229,DB00262,1.25
ZOLEDRONIC ACID,METHOTREXATE,T47D,DB00399,DB00563,-1.11
MITOTANE,IMIQUIMOD,NCIH522,DB00648,DB00724,-2.96
IMATINIB,BORTEZOMIB,MDAMB468,DB00619,DB00188,-0.39
DASATINIB,SORAFENIB,NCIH226,DB01254,DB00398,-5.25
LETROZOLE,IXABEPILONE,SKOV3,DB01006,DB04845,-0.54
CYTARABINE HYDROCHLORIDE,TRETINOIN,HCT15,DB00987,DB00755,0.99
LETROZOLE,FLUDARABINE BASE,DU145,DB01006,DB01073,3.35
LETROZOLE,CARMUSTINE,NCIH522,DB01006,DB00262,-1.25
DOCETAXEL,CARMUSTINE,NCIH522,DB01248,DB00262,-6.03
DASATINIB,PRALATREXATE,U251MG,DB01254,DB06813,6.8
CYTARABINE HYDROCHLORIDE,FULVESTRANT,SW620,DB00987,DB00947,-5.91
RALOXIFENE,NILOTINIB,CAKI1,DB00481,DB04868,-2.12
RALOXIFENE,RUXOLITINIB,NCIH23,DB00481,DB08877,0.56
